Duration,Protocol,Packets,Total Bytes,Labels
130.427841,1,10,1020,1
130.727692,1,8,629,1
130.836685,1,8,629,1
135.338409,1,10,756,1
138.770096,1,10,756,1
145.623062,1,7,563,1
146.212006,1,8,674,1
146.264587,1,9,687,1
146.246857,1,9,670,1
146.335297,1,8,640,1
146.527664,1,8,626,1
146.608444,1,9,720,1
146.577606,1,8,630,1
146.559372,1,8,653,1
146.641541,1,8,731,1
146.648071,1,9,721,1
144.829956,1,10,944,1
144.866791,1,10,786,1
145.641556,1,10,983,1
146.853058,1,6,544,1
141.975586,1,12,932,1
147.184570,1,9,715,1
142.667404,1,10,988,1
140.023193,1,10,979,1
143.707092,1,8,808,1
144.271942,1,10,776,1
144.972610,1,7,565,1
145.073547,1,8,810,1
146.973450,1,6,544,1
146.896042,1,7,559,1
147.047043,1,8,659,1
147.275558,1,7,601,1
148.343307,1,8,634,1
144.876389,1,8,834,1
146.982346,1,7,575,1
147.183853,1,8,679,1
147.172623,1,8,628,1
147.484818,1,10,1191,1
147.467346,1,10,805,1
142.221100,1,10,740,1
146.179459,1,8,808,1
147.076553,1,7,594,1
147.184265,1,9,721,1
129.526093,1,10,781,1
129.427078,1,10,749,1
128.324051,1,8,868,1
127.377480,1,10,788,1
126.616432,1,9,670,1
273.224060,1,10,750,1
273.210449,1,10,781,1
273.338196,1,8,610,1
273.313660,1,9,725,1
126.713867,1,8,623,1
126.790283,1,9,706,1
273.214630,1,6,541,1
273.504150,1,10,783,1
127.001251,1,7,607,1
273.622375,1,7,604,1
290.470215,1,11,824,1
142.975220,1,7,576,1
285.017914,1,10,932,1
138.090897,1,11,1006,1
283.424805,1,9,744,1
283.211151,1,8,621,1
128.765457,1,8,829,1
273.595154,1,10,741,1
273.695709,1,10,802,1
273.631561,1,10,946,1
126.821907,1,7,628,1
127.010742,1,7,550,1
273.839355,1,7,577,1
127.841385,1,7,547,1
289.153900,1,9,720,1
143.354523,1,8,488,1
290.863586,1,7,597,1
138.140198,1,6,541,1
276.275665,1,9,672,1
275.056976,1,10,728,1
273.440216,1,8,654,1
273.424713,1,10,1017,1
126.627235,1,9,894,1
273.829132,1,8,678,1
273.755402,1,8,639,1
276.718323,1,5,308,1
374.895477,1,8,650,1
236.101669,1,8,616,1
232.070877,1,8,488,1
0.000314,2,2,227,2
0.000456,2,2,377,2
246.769348,1,41,8524,2
3579.051758,2,84,7560,2
0.000382,2,2,400,2
0.000477,2,2,400,2
0.018185,1,7,478,2
3599.611328,2,228,20520,2
14.519156,1,9,692,2
0.000329,2,2,400,2
0.000143,2,2,400,2
0.018704,1,6,412,2
3528.168213,2,54,4860,2
0.000326,2,2,244,2
0.000369,2,2,280,2
0.235372,1,10,1219,2
0.000325,2,2,400,2
0.000305,2,2,400,2
0.018166,1,7,478,2
3569.621582,1,178,14094,2
0.000846,2,2,400,2
0.000347,2,2,400,2
0.018304,1,6,412,2
0.000335,2,2,400,2
0.000300,2,2,400,2
0.018349,1,6,412,2
0.000174,2,2,244,2
0.000371,2,2,280,2
0.227492,1,10,1219,2
0.010033,2,2,400,2
0.000441,2,2,400,2
0.019083,1,7,478,2
0.000349,2,2,400,2
0.000333,2,2,400,2
0.018143,1,7,478,2
0.000394,2,2,400,2
0.000339,2,2,400,2
0.018057,1,6,412,2
0.000321,2,2,244,2
0.000458,2,2,280,2
0.230934,1,10,1219,2
3422.047607,2,24,2160,2
0.000554,2,2,400,2
0.000439,2,2,400,2
0.018738,1,6,412,2
0.239077,2,2,150,2
0.241713,2,2,150,2
0.238788,2,2,150,2
0.238409,2,2,150,2
0.000391,2,2,542,2
240.185196,1,37,5884,2
0.000549,2,2,400,2
0.000866,2,2,400,2
0.018986,1,6,412,2
3445.270264,2,24,2160,2
0.000464,2,2,400,2
0.000291,2,2,400,2
0.017784,1,7,478,2
0.000312,2,2,244,2
0.000363,2,2,280,2
0.287023,1,10,1219,2
0.000485,2,2,400,2
0.000337,2,2,400,2
0.018159,1,6,412,2
651.516052,1,10,785,1
0.000297,2,2,400,2
0.000346,2,2,400,2
0.018308,1,6,412,2
0.000385,2,2,400,2
0.000411,2,2,400,2
0.017910,1,6,412,2
0.000181,2,2,244,2
0.000329,2,2,280,2
0.207975,1,10,1219,2
0.000464,2,2,400,2
0.000453,2,2,400,2
0.017925,1,6,412,2
0.000730,2,2,400,2
0.000628,2,2,400,2
0.018383,1,6,412,2
0.000451,2,2,400,2
0.000287,2,2,400,2
0.017952,1,7,478,2
0.000285,2,2,244,2
0.000512,2,2,280,2
0.211600,1,10,1219,2
0.000294,2,2,400,2
0.000299,2,2,400,2
0.018297,1,6,412,2
0.000198,2,2,218,2
0.000334,2,2,400,2
410.504761,1,114,40035,2
240.289459,1,28,2625,2
240.289642,1,28,2625,2
240.289215,1,28,2625,2
240.289597,1,28,2625,2
240.288651,1,28,2625,2
0.017008,2,2,181,2
0.017157,2,2,378,2
0.298473,1,13,2793,2
0.000274,2,2,400,2
0.000319,2,2,400,2
0.018281,1,6,412,2
0.000377,2,2,400,2
0.000285,2,2,400,2
0.018028,1,6,412,2
0.000293,2,2,227,2
0.000404,2,2,377,2
281.106903,1,43,9227,2
0.000244,2,2,244,2
0.000340,2,2,280,2
0.213433,1,10,1219,2
0.000400,2,2,400,2
0.000371,2,2,400,2
0.019216,1,7,478,2
0.321334,1,15,2044,2
0.278162,1,16,2649,2
0.282439,1,15,2064,2
0.270873,1,16,2649,2
0.271137,1,16,2677,2
0.253431,1,16,2677,2
0.000439,2,2,400,2
0.000329,2,2,400,2
0.018785,1,6,412,2
0.000373,2,2,400,2
0.000268,2,2,400,2
0.017834,1,6,412,2
